Allen Area Name,Probe Channel #,Cluster ID #,Rec #,Subject #,Rec ID,Unique Neuron #,Simple Name,Cortical Layer,Tot spikes during seizures,Mean Vector Length (to FCX EEG),Mean Vector Angle (to FCX EEG),Mean Vector Angle (0-centered),nonSWD FR,SWD FR,Inhibitory,Still FR,Motion FR,Overall FR,SWD Prate,SWC Prate,MVL_pvals,MVL_pvals_FDR_adjusted
Caudoputamen',91,9,1,7,7.1,1,Caudoputamen,0,101,0.965247813,4.905970261,4.905970261,0.1142917132,2.33036769,0,0.04874230535,0.2039349546,0.1407460815,0.9166666667,0.321299639,0.000009999900001,0.00001463574441
Caudoputamen',90,12,1,7,7.1,2,Caudoputamen,0,308,0.3633369345,2.89E+02,-71,20.28064637,7.106467809,1,17.58342471,23.969287,20.12338446,1,0.4151624549,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 6a',21,26,1,7,7.1,3,Somatosensory,6,137,0.9719232883,3.57E+02,-3,1.707406691,3.160993798,0,0.08300669822,3.928882799,1.724759222,0.9166666667,0.357400722,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 6a',12,50,1,7,7.1,4,Somatosensory,6,179,0.6854278253,3.44E+02,-16,4.415562774,4.13005759,0,4.834657574,3.842424938,4.412155537,0.9166666667,0.4187725632,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 5',70,70,1,7,7.1,5,Somatosensory,5,1454,0.7323298256,3.50E+02,-10,21.13839174,33.54806556,1,23.13473895,18.40826458,21.28653652,1,0.9602888087,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 5',70,74,1,7,7.1,6,Somatosensory,5,617,0.7535841244,3.36E+02,-24,2.738262192,14.23600856,1,4.34240855,0.5444865294,2.875516811,1,0.7761732852,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 5',42,76,1,7,7.1,7,Somatosensory,5,14,0.2352418098,3.14E+02,-46,0.1535969121,0.323021264,0,0.2456419151,0.02771931422,0.1556194443,0.375,0.03249097473,0.4647453525,0.4994913679
Primary somatosensory area mouth layer 5',67,84,1,7,7.1,8,Somatosensory,5,785,0.4182486084,3.28E+02,-32,37.64992041,18.11226373,0,33.5820006,43.21309091,37.4166985,1,0.9277978339,0.000009999900001,0.00001463574441
Primary somatosensory area mouth layer 5',3,87,1,7,7.1,9,Somatosensory,5,164,0.3258877511,3.35E+02,-25,17.01524849,3.783963379,1,18.45837322,15.04168787,16.85730416,1,0.2924187726,0.0003799962,0.0005215679551
Primary somatosensory area mouth layer 5',66,88,1,7,7.1,10,Somatosensory,5,479,0.6038304957,3.40E+02,-20,16.40169713,11.05194182,0,15.92570373,17.05265812,16.33783819,1,0.844765343,0.000009999900001,0.00001463574441
