Region,Subject,Session,Neuron,State,FR
Caudoputamen,7,7.1,1,SWD,2.330410706
Caudoputamen,7,7.1,1,Still,0.04874230535
Caudoputamen,7,7.1,1,Moving,0.2039349546
Caudoputamen,7,7.1,2,SWD,7.106598985
Caudoputamen,7,7.1,2,Still,17.58342471
Caudoputamen,7,7.1,2,Moving,23.969287
Somatosensory,7,7.1,3,SWD,3.161052146
Somatosensory,7,7.1,3,Still,0.08300669822
Somatosensory,7,7.1,3,Moving,3.928882799
Somatosensory,7,7.1,4,SWD,4.130133826
Somatosensory,7,7.1,4,Still,4.834657574
Somatosensory,7,7.1,4,Moving,3.842424938
Somatosensory,7,7.1,5,SWD,33.54868482
Somatosensory,7,7.1,5,Still,23.13473895
Somatosensory,7,7.1,5,Moving,18.40826458
Somatosensory,7,7.1,6,SWD,14.23627134
Somatosensory,7,7.1,6,Still,4.34240855
Somatosensory,7,7.1,6,Moving,0.5444865294
Somatosensory,7,7.1,7,SWD,0.3230272266
Somatosensory,7,7.1,7,Still,0.2456419151
Somatosensory,7,7.1,7,Moving,0.02771931422
Somatosensory,7,7.1,8,SWD,18.11259806
Somatosensory,7,7.1,8,Still,33.5820006
Somatosensory,7,7.1,8,Moving,43.21309091
Somatosensory,7,7.1,9,SWD,3.784033226
Somatosensory,7,7.1,9,Still,18.45837322
Somatosensory,7,7.1,9,Moving,15.04168787
Somatosensory,7,7.1,10,SWD,11.05214582
Somatosensory,7,7.1,10,Still,15.92570373
Somatosensory,7,7.1,10,Moving,17.05265812
Somatosensory,7,7.1,11,SWD,10.49838486
Somatosensory,7,7.1,11,Still,12.24010981
Somatosensory,7,7.1,11,Moving,11.64079201
Somatosensory,7,7.1,12,SWD,8.952468851
Somatosensory,7,7.1,12,Still,12.59674905
Somatosensory,7,7.1,12,Moving,15.81584872
Somatosensory,7,7.1,13,SWD,6.760498385
Somatosensory,7,7.1,13,Still,7.947891355
Somatosensory,7,7.1,13,Moving,8.598267279
Somatosensory,7,7.1,14,SWD,3.045685279
Somatosensory,7,7.1,14,Still,4.527243233
Somatosensory,7,7.1,14,Moving,5.005976152
Somatosensory,7,7.1,15,SWD,7.083525611
Somatosensory,7,7.1,15,Still,6.269418701
Somatosensory,7,7.1,15,Moving,5.262709801
Somatosensory,7,7.1,16,SWD,0.6691278265
Somatosensory,7,7.1,16,Still,2.495992112
Somatosensory,7,7.1,16,Moving,2.680193692
Somatosensory,7,7.1,17,SWD,20.97369635
Somatosensory,7,7.1,17,Still,11.61997256
Somatosensory,7,7.1,17,Moving,12.26579654
Somatosensory,7,7.1,18,SWD,1.938163359
Somatosensory,7,7.1,18,Still,3.167284654
Somatosensory,7,7.1,18,Moving,4.132817754
Somatosensory,7,7.1,19,SWD,3.737886479
Somatosensory,7,7.1,19,Still,4.213555129
Somatosensory,7,7.1,19,Moving,3.338857397
Somatosensory,7,7.1,20,SWD,9.667743424
Somatosensory,7,7.1,20,Still,3.529715063
Somatosensory,7,7.1,20,Moving,2.567996468
Somatosensory,7,7.1,21,SWD,3.299492386
Somatosensory,7,7.1,21,Still,2.28944056
Somatosensory,7,7.1,21,Moving,1.293567997
Somatosensory,7,7.1,22,SWD,3.161052146
Somatosensory,7,7.1,22,Still,1.254752415
Somatosensory,7,7.1,22,Moving,0.2699333218
Somatosensory,7,7.1,23,SWD,2.076603599
Somatosensory,7,7.1,23,Still,0.7108655028
Somatosensory,7,7.1,23,Moving,0.3735507584
Somatosensory,7,7.1,24,SWD,5.376095985
Somatosensory,7,7.1,24,Still,2.192921144
Somatosensory,7,7.1,24,Moving,1.817595033
Somatosensory,7,7.1,25,SWD,4.614674665
Somatosensory,7,7.1,25,Still,1.128794576
Somatosensory,7,7.1,25,Moving,0.2395740729
Somatosensory,7,7.1,26,SWD,2.791878173
Somatosensory,7,7.1,26,Still,0.7364431482
Somatosensory,7,7.1,26,Moving,1.079073304
Caudoputamen,7,7.1,27,SWD,3.760959852
Caudoputamen,7,7.1,27,Still,1.502807315
Caudoputamen,7,7.1,27,Moving,3.772466669
Caudoputamen,7,7.1,28,SWD,3.530226119
Caudoputamen,7,7.1,28,Still,0.4406111365
Caudoputamen,7,7.1,28,Moving,4.61922572
Caudoputamen,7,7.1,29,SWD,2.122750346
Caudoputamen,7,7.1,29,Still,0.3923514282
Caudoputamen,7,7.1,29,Moving,0.6725233618
